義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
,高麗參,朝鮮半島上所生產的人參。,,高麗,高麗參。根莖類。為人參的一種。因為產於朝鮮半島，所以才有此名。
,高麗參,朝鮮半島上所生產的人參。,,參仔,人參。根莖類。多年生宿根草本植物。主根較為肥大，而且形狀像人形，所以叫「人參」。葉與根皆可入藥，在中藥裡是高級的滋補藥材。
,假,不真實的、虛偽的。,,虛,不實的、假的。
,做,製做。,,造,製作、建造。
,停,運動中的東西不再運動。,,定,停止、不動。
,偷,竊取。,,勍,偷、強取。
,剪,將東西裁斷。,,鉸,用剪刀將物品裁割、切割或修割。
,做工,幹活。從事勞力的工作。,,作穡,工作、幹活。
,做大水,水災、淹水。,,水災,因為雨量過多或河水氾濫所造成的災害。
,做大水,水災、淹水。,,淹大水,水災、發水。
,做大水,水災、淹水。,,淹水,被水覆蓋。
,做大水,水災、淹水。,,做水,淹水、鬧水災。
,偏心,偏袒。袒護一方，對某一方存私心。,,大細心,偏心。指人故意偏袒一方，對某一方存私心。
,偏心,偏袒。袒護一方，對某一方存私心。,,私心,為個人利益打算的念頭。
,偏心,偏袒。袒護一方，對某一方存私心。,,攔孤爿,偏袒。袒護某一方。
,副手,助手。協助處理事務的人。,,二手,副手、助手、助理。技術工作中的助手、協助處理事務的人。
,假仙,假裝、裝蒜。,,搬戲,引申為裝模作樣。
,假包,冒牌貨、贗品。,,仿仔,贗品、仿冒品。仿製的東西。
,做伙,一起、一塊兒。,,相佮,共同、一起。
,做伙,一起、一塊兒。,,鬥陣,結伴、偕同、一起。
,做伙,一起、一塊兒。,,做陣,一起、結伴。
,做伙,一起、一塊兒。,,相𤆬,結伴、偕同、一起。
,做伙,生活上的接觸、往來。,,鬥陣,人與人之間交際往來。
,健丟,伶俐、靈活。形容小孩子天真活潑、動作俐落。,,扭掠,形容手腳快、動作敏捷。
,健丟,伶俐、靈活。形容小孩子天真活潑、動作俐落。,,活動,活潑好動的。
,健丟,伶俐、靈活。形容小孩子天真活潑、動作俐落。,,活潑,生動而不呆板。
,健丟,伶俐、靈活。形容小孩子天真活潑、動作俐落。,,跳踢,活躍、活潑、起興。
,健丟,形容人的言行怪異可笑。,,各馝,孤僻、滑稽。形容一個人的性情、脾氣特別古怪、乖戾，或指稱人的個性滑稽、詼諧。
,偏名,綽號、小名。非正式的名字。,,小名,乳名、外號。非正式的名字。
,做色,染色。,,染色,用染料在物品上加顏色。
,假使,假如、如果。,,若是,如果、要是。假使、倘若。
,假使,假如、如果。,,若準,如果、倘若。
,假使,假如、如果。,,設使,假使、如果。
,假使,假如、如果。,,準講,假使、如果、就算。
,偷拈,偷拿。原指是用手指夾取東西，分量並不多。,,偷提,偷取、偷拿。以不正當的方式，竊取他人物品、資料等。
,偷咬雞仔,紅杏出牆。指已婚婦女與其他男子有不正常的交往關係。,,討契兄,偷漢子。婦女與人通姦。
,偷食步,作弊、投機取巧。利用時機、不守規定、不按部就班而獲取利益。,,暗步,詭計、密招。不光明的手段或方法。
,偃倒,推倒。,,捙倒,推翻。用力將豎立著的東西推倒，推翻。
,做陣,一起、結伴。,,鬥陣,結伴、偕同、一起。
,做陣,一起、結伴。,,做伙,一起、一塊兒。
,偏偏,故意、唱反調。,,干干仔,偏偏。
,偏偏,故意、唱反調。,,干仔,偏偏。表示故意違反別人的要求。
,偷提,偷取、偷拿。以不正當的方式，竊取他人物品、資料等。,,偷拈,偷拿。原指是用手指夾取東西，分量並不多。
,假痟,裝瘋賣傻。,,佯戇,裝傻。故作糊塗。
,假痟,因裝瘋賣傻程度太過，而使人感到行為過份，故引申為舉止過份，不懂節制。,,超過,過分。超越適當的分量。
,停睏,停止、休息。,,休息,暫停工作以解除疲勞恢復體力。
,停睏,停止、休息。,,停跤,歇腳、休息。
,停睏,停止、休息。,,歇,休息、停止。
,停睏,停止、休息。,,歇睏,休息、歇息。
,停跤,歇腳、休息。,,停睏,停止、休息。
,停電,停止供電。,,失電,停電。停止供電，或者是因為故障導致斷電。
,剪綹仔,扒手、三隻手。專門在公共場所偷取人家財物的小偷。,,三肢手,扒手、三隻手。專門在公共場所偷取人家財物的小偷。
,剪綹仔,扒手、三隻手。專門在公共場所偷取人家財物的小偷。,,賊,小偷、竊盜財物的人。
,剪綹仔,扒手、三隻手。專門在公共場所偷取人家財物的小偷。,,賊仔,小偷、竊賊。
,做頭,領頭、帶頭。,,做前,領頭、帶領。
,做頭,當先。趕在最前面。,,做前,當前鋒、趕在前頭。
,做戲,演戲。,,搬戲,演戲、表演。
,做戲,演戲。,,演戲,表演戲劇。
,做議量,消遣、排遣。排解愁悶、消磨時間。,,消遣,排解愁悶。
,做議量,消遣、排遣。排解愁悶、消磨時間。,,消磨,打發（時間）。
,做議量,消遣、排遣。排解愁悶、消磨時間。,,做體藝,當成消遣在做，半做半玩來消磨時間。
,做譴損,作法。施用法術以趨吉避凶或以巫蠱陷害別人。,,作法,術者施行法術。
,匏,瓜果類。外觀呈葫蘆狀，為常見食材，可直接烹調，亦可製成菜乾。曬乾剖開除去中間乾燥的果肉後，可當作杓子使用。,,匏仔,匏瓜、葫蘆。瓜果類。莖細長，卷鬚會纏繞在其他物品之上。瓜果又粗又長，剛長出來的時候會有細毛，成熟後，皮面光滑。可供食用和藥用。也可用來做為舀水的工具，叫「匏桸」。
,唌,引誘。,,引誘,誘導、勾引。
,唌,引誘。,,唌人,誘人。引誘別人。
,唌,引誘。,,誘,以事物引人注意、打動人心。
,唬,以狡猾手段或不實言語欺騙。,,刐,騙取。是比較粗俗的用法。
,唸,朗誦、讀出或背出文字。,,讀,照著文字唸。
,啉,喝、飲。,,食,喝、飲。
,唌人,誘人。引誘別人。,,唌,引誘。
,唬人,騙人、哄人。,,放屁,比喻吹牛，說一些荒謬無理的話。
,唬人,騙人、哄人。,,嚇驚,恫嚇。用言語或行為嚇人，使人害怕。
,動手,出手。用手接觸或毆打、爭鬥。,,出手,動手。
,動手,著手。開始進行。,,下手,動手去做。
,動手,著手。開始進行。,,落手,下手、著手。動手去做某件事。
,匏仔,匏瓜、葫蘆。瓜果類。莖細長，卷鬚會纏繞在其他物品之上。瓜果又粗又長，剛長出來的時候會有細毛，成熟後，皮面光滑。可供食用和藥用。也可用來做為舀水的工具，叫「匏桸」。,,匏,瓜果類。外觀呈葫蘆狀，為常見食材，可直接烹調，亦可製成菜乾。曬乾剖開除去中間乾燥的果肉後，可當作杓子使用。
,參仔,人參。根莖類。多年生宿根草本植物。主根較為肥大，而且形狀像人形，所以叫「人參」。葉與根皆可入藥，在中藥裡是高級的滋補藥材。,,人參,草本植物。根和葉都可以做藥，是昂貴的中藥材。因為形狀像人，所以稱為「人參」。
,參仔,人參。根莖類。多年生宿根草本植物。主根較為肥大，而且形狀像人形，所以叫「人參」。葉與根皆可入藥，在中藥裡是高級的滋補藥材。,,高麗,高麗參。根莖類。為人參的一種。因為產於朝鮮半島，所以才有此名。
,參仔,人參。根莖類。多年生宿根草本植物。主根較為肥大，而且形狀像人形，所以叫「人參」。葉與根皆可入藥，在中藥裡是高級的滋補藥材。,,高麗參,朝鮮半島上所生產的人參。
,動作,指運動中的行為、態勢。,,跤手,手腳、動作。
,區別,分別。,,分別,區分、辨別。
,唬秤頭,偷斤兩。指做生意偷斤減兩，占顧客便宜。,,食秤頭,偷斤減兩。賣東西時，以少報多，欺騙顧客。
,匏桸,匏瓜曬乾挖空製成的水瓢。,,水觳仔,裝水的容器、杓子。
,商量,交換意見。,,討論,兩個人以上一起對事物等探討、研究並且尋求結論。
,商量,交換意見。,,參詳,商量、交換意見。
,參詳,商量、交換意見。,,討論,兩個人以上一起對事物等探討、研究並且尋求結論。
,參詳,商量、交換意見。,,商量,交換意見。
,參詳,商量、交換意見。,,斟酌,詳細考慮。
,啄鼻仔,洋人。因為歐美人的鼻樑較高，所以藉此特徵泛指歐美地區的外國人；有歧視的含意，要避免使用。,,阿啄仔,老外、洋人。因為洋人的鼻子高挺，所以用「啄」(tok)來代稱洋人。有歧視意味，應避免使用。
,商標,為表彰商品，而以文字或圖畫等作成的一種標記。經政府核准註冊後取得專利權。,,牌子,商標。商品的廠牌標記。
,商標,為表彰商品，而以文字或圖畫等作成的一種標記。經政府核准註冊後取得專利權。,,號頭,商標。
,啄龜,打瞌睡、打盹。,,盹瞌睡,打瞌睡、打盹。
,啄龜,打瞌睡、打盹。,,盹龜,打瞌睡、打盹。
,啖糝,零食、零嘴。,,四秀仔,零食、零嘴。
,啖糝,零食、零嘴。,,點心,有別於正餐所吃的食物，如糕餅類、小吃等。
,唱聲,以言語大聲威嚇、撂狠話，表示警告與不滿，並帶有挑釁意味。,,唱注,叫囂、揚言。對某人口出狂言，並帶有挑釁意味。
,堆,計算成群物的單位。,,垺,堆。計算成堆東西的單位。
,夠工,周到。做事情下了很多功夫，面面俱到，沒有疏漏。,,工夫,做工精密細膩。
,夠工,周到。做事情下了很多功夫，面面俱到，沒有疏漏。,,厚工,費工、費工夫。形容所耗費的精神心力甚多。
,堅巴,東西乾燥之後，變硬黏結在一起。,,堅乾,乾枯變硬。
,堅巴,東西乾燥之後，變硬黏結在一起。,,堅風,風乾。蔬菜、肉類等物品被風吹乾，水份因減少而變得乾硬。
,堅固,形容物體非常牢固。,,勇,物品堅固耐用。
,啥物,什麼。,,啥貨,什麼、什麼東西。
,堂的,同宗。稱呼同宗族中同一輩分的兄弟姊妹。或是用來稱呼同一姓氏的人。,,親人,同宗、同姓。原本非親非故，因為同姓而攀親帶故的人。
,堆肥,含有肥力的動、植物、礦物質與化學肥料等混合堆積，經過腐化而成的肥料。,,漚肥,堆肥；將植物枝葉或動物排泄物等材料混合堆積，使其腐化發酵而成有機肥料。
,娶某,娶妻子。,,娶新娘,娶媳婦、辦喜事。
,娶某,娶妻子。,,娶新婦,娶媳婦。
,堅乾,乾枯變硬。,,堅巴,東西乾燥之後，變硬黏結在一起。
,堅乾,乾枯變硬。,,堅風,風乾。蔬菜、肉類等物品被風吹乾，水份因減少而變得乾硬。
,啥貨,什麼、什麼東西。,,啥物,什麼。
,啥款,怎麼樣、什麼樣子。,,按怎,怎麼、怎樣。通常用於詢問原因、方式等，有時也含有挑釁的意味。
,娶新娘,娶媳婦、辦喜事。,,娶某,娶妻子。
,娶新娘,娶媳婦、辦喜事。,,娶新婦,娶媳婦。
,娶新婦,娶媳婦。,,娶某,娶妻子。
,娶新婦,娶媳婦。,,娶新娘,娶媳婦、辦喜事。
,執照,牌照、許可證。由政府機關正式發給核准做某事的憑證。,,牌照,執照。政府機關所發的許可證明書。
,基督,基督教徒對耶穌的尊稱，意為救世主。,,耶穌,人名。猶太人，基督教的創始者。
,培墓,掃墓。,,掃墓,上墳。祭掃墳墓。大多是在清明節前後到先人的墳墓打掃、祭拜。閩南地區的風俗還有壓墓紙，表示幫先人換屋瓦。有一些在墓地附近放牛羊的牧童會前來乞討祭品，稱作「挹墓粿」(ip-bōng-kué)。
,培墓,掃墓。,,探墓厝,掃墓。
,培墓,掃墓。,,硩墓紙,掃墓祭拜後，將墓紙壓置於墳塋上的慣俗；或泛指整個「掃墓」的習俗。
,埠頭,碼頭、港口。,,碼頭,在海港、河川或運河沿岸，用以停靠船隻，裝卸貨物與上下旅客的地方。
,將,把。,,共,把、將。後加「伊」而「伊」省略時，則不變調。
,專工,特地、專程。,,刁工,專程、特地。
,專工,特地、專程。,,刁持,特地、特意。
,專心,專一心思、集中心力。,,注心,專心、用心。
,將來,未來。尚未到的時候。,,日後,以後、將來。
,將來,未來。尚未到的時候。,,未來,將來。相對於現在、過去來說。
,將來,未來。尚未到的時候。,,後日仔,日後、以後、將來。未來的日子。
,婆姐,小孩的守護神。註生娘娘手下的副神，專司小孩的生、養、育等事。在臺灣婆姐共有十二位，各有其姓且各司其職，在廟宇中分列於註生娘娘兩側，手中都抱著一個嬰兒。又稱為「姐母」(Tsiá-bó)。,,姐母,小孩的守護神。註生娘娘手下的副神，專司小孩的生、養、育等事。在臺灣婆姐共有十二位，各有其姓且各司其職，在廟宇中分列於註生娘娘兩側，手中都抱著一個嬰兒。
,寄金簿仔,存款簿、存摺。,,手摺簿仔,存摺。金融機構發給存款人的小冊子，內容詳細記載存款人的存提記錄，可以做為憑證。
,寄託,託付。,,交仗,託付。
,密喌喌,緊緊的。形容非常緊密，沒有空隙。,,實捅捅,形容人或物塞得極滿，毫無空隙。
,婊間,妓院。妓女接客的地方。,,查某間,妓院、娼寮。妓女接客的房舍。
,婊間,妓院。妓女接客的地方。,,趁食間,妓女戶。
,婊間,妓院。妓女接客的地方。,,暗間仔,妓院。
,寄話,轉告、傳話。把一方說的話轉述給另外一方聽。,,過喙,傳話、轉述。
,寄話,轉告、傳話。把一方說的話轉述給另外一方聽。,,寄聲,傳話、轉告。
,寂寞,孤單的樣子。,,孤單,孤身一人而且沒有依靠。
,寂寞,孤單的樣子。,,稀微,寂寞、寂寥。
,密實,緊密結實。,,實實,形容裝得滿滿、塞得滿滿的樣子。
,密實,緊密結實。,,實捅捅,形容人或物塞得極滿，毫無空隙。
,專權,專橫、專斷。,,特權,特殊的權利，或只有少數人能享受而多數人無法享受的權利。
,專權,專橫、專斷。,,掌權,掌握大權。
,專權,專橫、專斷。,,攏權,掌權。握有最大的權力，可做主行事。
,屜,抽屜。,,屜仔,抽屜。桌子或櫃子等家具上的裝置，可以盛裝東西、拉出或推入家具內部的匣子。
,帶,攜、拿。,,紮,攜帶。
,帶,引領。,,𤆬,帶領、引導。
,張,使性子。,,挐頭,指小孩使性子胡鬧。
,張,使性子。,,起挐,鬧脾氣；使性子；胡鬧一通。
,帶手,探望拜訪親友時所帶的禮物。,,伴手,拜訪親友時，攜帶的小禮物。
,帶手,探望拜訪親友時所帶的禮物。,,等路,訪友時帶去送給友人的禮物。
,帶手,探望拜訪親友時所帶的禮物。,,禮物,贈送的物品。
,屜仔,抽屜。桌子或櫃子等家具上的裝置，可以盛裝東西、拉出或推入家具內部的匣子。,,桌屜,抽屜。桌子或櫃子上所裝置，可以拉出或推入的盛東西的匣子。
,屜仔,抽屜。桌子或櫃子等家具上的裝置，可以盛裝東西、拉出或推入家具內部的匣子。,,屜,抽屜。
,崎仔,小山坡。,,山坪,山坡地。山凹間或山麓上較平坦的地或可耕地。
,崙仔,小山丘、小土坡。,,山崙,指地勢較一般平原為高的小山丘。
,得失,得罪、冒犯。,,得罪,冒犯、觸怒。
,常在,經常、時常。,,四常,時常、經常。
,常在,經常、時常。,,定定,常常、經常。
,常在,經常、時常。,,時常,經常、常常。
,常在,經常、時常。,,常常,經常、次數頻繁。
,常在,經常、時常。,,不三時,時常、常常。
,帶身命,罹患難以治癒的慢性病。,,拖身拖命,長期生病無法治癒或身體狀況很差，多用於形容人在這種狀態下還必須極度辛苦地過日子。
,帶身命,罹患難以治癒的慢性病。,,致身命,得到難治的慢性病。
,張身勢,擺架子、裝模作樣。,,激派頭,拿派頭、擺架子。言語、行為上故做神氣。驕傲誇張，故意顯出自己的身分地位比別人高貴。
,帶衰,連累別人跟著倒楣。,,破格,八敗命、掃把星。形容人在命理上有缺陷，常帶來霉運將事情搞砸，或是常說負面的言語。和華語中的「破格」意思不同。
,帶衰,連累別人跟著倒楣。,,衰潲,倒楣。運氣不好，做事情不順利。
,常常,經常、次數頻繁。,,四常,時常、經常。
,常常,經常、次數頻繁。,,定定,常常、經常。
,常常,經常、次數頻繁。,,時時,時時刻刻。
,常常,經常、次數頻繁。,,時常,經常、常常。
,常常,經常、次數頻繁。,,常在,經常、時常。
,強強,幾乎。,,差不多,幾乎。
,強強,幾乎。,,強欲,幾乎要。
,張掇,違拗、曲拗、使性子。故意做和心意相反的事。,,挐頭,指小孩使性子胡鬧。
,張掇,違拗、曲拗、使性子。故意做和心意相反的事。,,起挐,鬧脾氣；使性子；胡鬧一通。
,強欲,幾乎要。,,強強,幾乎。
,得罪,冒犯、觸怒。,,得失,得罪、冒犯。
,帶領,引導、率領。,,𤆬領,帶領。
,惜,疼愛、疼惜。,,甘,值得疼惜。
,挲,塗抹。,,抹,塗抹、擦。
,挲,安撫、打圓場、平息紛爭。,,安搭,安撫。
,捧,雙手由下而上托著物品。,,扶,捧、托。用手托著或扶起來。
,情人,相愛的男女互稱對方。,,愛人仔,情人。
,情形,事情所呈現的狀態。,,情勢,事情的狀況發展和趨勢。
,自來,從來。從以前到現在。,,從到今,向來、從來。從以前到現在。
,自來,從來。從以前到現在。,,生本,天生的、與生俱來。
,自來,從來。從以前到現在。,,自早,從前、從來、一向。
,自來,從來。從以前到現在。,,透底,從來。
,從到今,向來、從來。從以前到現在。,,自來,從來。從以前到現在。
,從到今,向來、從來。從以前到現在。,,透底,從來。
,從到今,向來、從來。從以前到現在。,,步頻,向來、從來、一向。
,惜命命,疼惜有加、十分珍惜。,,疼命命,非常疼惜。
,患者,病人。患有某種疾病的人。,,病人,生病的人。
,徛屏,屏風。室內用來擋風、隔間或遮蔽的用具。,,閘屏,屏風。室內用來擋風或隔間、遮蔽的用具。
,情面,情分和面子。,,面子,情面。
,徛家,住家。,,人家厝仔,民宅。
,徛家,住家。,,徛家厝,民宅、住家。
,悾悾,傻傻的、呆頭呆腦的。,,怐怐,呆、傻。形容人腦筋單純，不聰敏。
,情勢,事情的狀況發展和趨勢。,,情形,事情所呈現的狀態。
,悽慘,悲哀慘痛。,,悲慘,形容很悽慘、不幸的狀況。
,悽慘,悲哀慘痛。,,離經,形容人遭受到嚴重的損失、精神打擊等不幸。
,徛算,可以算作。就算作……、就當作……。,,準講,假使、如果、就算。
,徛算,可以算作。就算作……、就當作……。,,算講,姑且當作。
,徛算講,就好像說、也就是說。,,準講,假使、如果、就算。
,徛算講,就好像說、也就是說。,,算講,姑且當作。
,徙鋪,換床鋪、變換睡覺的地方。,,換鋪,換床舖。
,情願,甘心、願意。,,甘心,寧願、情願。自己願意，沒有半點勉強。
,情願,甘心、願意。,,甘願,寧願、情願。自己願意，沒有半點勉強。
,挲鹽,搓鹽、抹鹽。在東西表面用手抹上一層鹽巴。,,抹鹽,在物體表面塗抹鹽巴。
,捻,植物的果實和莖或枝相連接的部位。,,蒂頭,植物的果實和莖或枝相連接的部位。
,捻,串、把。計算成把的或成串的蔬菜、果實的單位。,,葩,計算成串物品的單位。
,掀,翻閱書本。,,反,翻閱。
,掉,置於動詞之後，表示動作完成。,,去,動詞後綴。……掉，表示動作或狀態的完成或結束。
,掛,懸掛。把東西懸掛起來。,,吊,懸掛。
,推,委卸、推辭。,,捒,推卸、推拖給別人。
,推,大吃、大喝，較粗俗的用法。,,摁,大吃。戲稱快速大量地吃東西。
,推,打、毆打。,,舂,擊打、撞、揍。
,推,打、毆打。,,揍,以拳頭用力打人。
,掩,土葬、埋葬。,,埋,埋葬。
,接力,承重。承受重量、力量。,,接載,支撐、支持。
,捾水,水腫。因液體在身體的細胞組織中發生異常的積聚現象，而引起全身或局部的腫脹症狀。,,膭水,水腫、浮腫。
,掛心,操心、擔心。,,掛慮,擔心、掛心。
,掛心,操心、擔心。,,操心,勞神、勞費心力。
,掛心,操心、擔心。,,擘腹,擔心、煩惱。
,救火,滅火、撲滅火災。,,拍火,滅火、救火。
,掠包,揭發、揭穿。抓到把柄、小辮子。,,破空,敗露。壞事或機密事件被發覺、揭露。
,捽目尾,使眼色。,,使目尾,用目光暗示。
,捽目尾,使眼色。,,使目箭,用目光暗示。
,排列,排隊。依照次序排成行列。,,排隊,依照順序排列成行伍。
,救助,救援幫助。,,救援,救助、援助。
,掠狂,抓狂、發狂。通常表示極為憤怒或極度緊張。,,心狂火著,氣急攻心、火冒三丈。
,掠狂,抓狂、發狂。通常表示極為憤怒或極度緊張。,,起狂,發狂。精神失常，舉止狂烈。
,接受,接納，收受。,,承受,接受、承擔。
,接受,接納，收受。,,承擔,承受、擔負。
,接受,接納，收受。,,接納,接受。
,接受,接納，收受。,,領受,接受。收受、接納。
,掠兔仔,抓兔子、嘔吐。因為嘔吐是不舒服的感覺，所以用與「吐」諧音的「兔」來委婉地表達。,,出酒,酒醉而吐。
,掠兔仔,抓兔子、嘔吐。因為嘔吐是不舒服的感覺，所以用與「吐」諧音的「兔」來委婉地表達。,,吐,嘔、反胃。
,掃帚星,彗星。環繞太陽運行的小質量天體。主要分為彗核、彗髮和彗尾三部分。其外貌和亮度均隨著與太陽距離的遠近而發生變化。軌道是以太陽為焦點的圓錐曲線。以拋物線居多，橢圓次之，雙曲線最少。解體後轉化為小行星或流星群。,,長尾星,彗星。環繞太陽運行的小質量天體。主要分為彗核、彗髮和彗尾三部分。其外貌和亮度均隨著與太陽距離的遠近而發生變化。軌道是以太陽為中心的圓錐曲線。以拋物線居多，橢圓次之，雙曲線最少。解體後轉化為小行星或流星群。
,掃帚星,彗星。環繞太陽運行的小質量天體。主要分為彗核、彗髮和彗尾三部分。其外貌和亮度均隨著與太陽距離的遠近而發生變化。軌道是以太陽為焦點的圓錐曲線。以拋物線居多，橢圓次之，雙曲線最少。解體後轉化為小行星或流星群。,,歹星,彗星。環繞太陽運行的小質量天體。主要分為彗核、彗髮和彗尾三部分。其外貌和亮度均隨著與太陽距離的遠近而發生變化。
,掃帚星,用來稱呼不吉利，會帶來楣運的人。,,白跤蹄,倒霉鬼、掃把星。民間習俗認為腳蹄為白色的牲畜會帶給主人家不祥的事端，後來也用來指稱專門給家裡頭帶來霉運的女人。
,掃帚星,用來稱呼不吉利，會帶來楣運的人。,,長尾星,比喻會帶來厄運的人。
,掃帚星,用來稱呼不吉利，會帶來楣運的人。,,歹星,掃把星。會帶來霉運，不吉祥的人。
,掠長補短,取長補短、截長補短。取有餘以補不足。,,掩來扯去,截長補短，取有餘以補不足。
,掩咯雞,捉迷藏。一人矇住眼睛，其他人在旁邊發出聲音，由矇眼的人循聲捉人的遊戲。,,覕相揣,捉迷藏。一種遊戲。玩的時候，大家選出一個人當鬼來負責抓人，其他的成員就躲起來讓這個人去找，被找到的就換他當鬼。
,教員,擔任教學工作的人員。,,教師,教授學生、傳授知識的人。
,教師,教授學生、傳授知識的人。,,教員,擔任教學工作的人員。
,掃梳笒仔,指竹掃把上一枝枝的細竹枝。,,秀梳仔,細竹子。竹子分支處，乾燥後彈性佳，過去常被用來當作體罰的器具。
,接納,接受。,,承受,接受、承擔。
,接納,接受。,,接受,接納，收受。
,掠做,當做、以為。,,叫是,誤認、以為。錯認，誤當作是。
,掠做,當做、以為。,,料想,預料、揣測。
,掠做,當做、以為。,,掠準,認為、以為。對某一事物經分析思考後所作的判斷。
,捷捷,常常。,,定定,常常、經常。
,接接,接待、招待。,,案內,招待、招呼；引導。源自日語「案內（あんない）」。
,敏捷,反應迅速快捷。,,緊跤緊手,快手快腳。指做事情動作敏捷快速。
,掩掩揜揜,遮遮掩掩、偷偷摸摸。,,偷偷仔,偷偷地。在不被他人察覺的情況下行動。
,救援,救助、援助。,,救助,救援幫助。
,救援,救助、援助。,,援助,幫助、支援。
,推測,推想揣測。,,推論,根據事實而推演、推測。
,推測,推想揣測。,,猜想,猜測、料想。
,掛牌,掛上招牌，表示商店正式營業。,,營業,以營利為目的的事業，通常指經商或是做生意。
,掠無頭摠,不得要領、抓不到頭緒。,,捎無摠,摸不著頭緒、不得要領。
,掠痧,刮痧。一種傳統民俗醫療方式。用錢幣或小圓餅狀的東西蘸水或油刮擦患者的胸部、背部和頸部，使皮膚紅紫，局部充血，以減輕中暑現象和疼痛。其原理就是利用按摩人體的胸腺而增加血液循環及產生免疫力。,,挽筋,一種民俗療法，遇人有中暑、頭暈、腹脹等痧症時，用雙指沾水為其捏擰肩頸或脊椎兩側的筋絡，使皮膚紅紫、局部充血，以增進氣血循環、舒緩症狀。類似「刮痧」療法的效果。
,排隊,依照順序排列成行伍。,,排列,排隊。依照次序排成行列。
,掛意,掛念、介意。心中有繫念，將不愉快或憂慮之事存於心中，而不能釋懷。,,掛慮,擔心、掛心。
,掛意,掛念、介意。心中有繫念，將不愉快或憂慮之事存於心中，而不能釋懷。,,擘腹,擔心、煩惱。
,掠準,認為、以為。對某一事物經分析思考後所作的判斷。,,叫是,誤認、以為。錯認，誤當作是。
,掠準,認為、以為。對某一事物經分析思考後所作的判斷。,,料想,預料、揣測。
,掠準,認為、以為。對某一事物經分析思考後所作的判斷。,,掠做,當做、以為。
,接載,支撐、支持。,,接力,承重。承受重量、力量。
,掃墓,上墳。祭掃墳墓。大多是在清明節前後到先人的墳墓打掃、祭拜。閩南地區的風俗還有壓墓紙，表示幫先人換屋瓦。有一些在墓地附近放牛羊的牧童會前來乞討祭品，稱作「挹墓粿」(ip-bōng-kué)。,,培墓,掃墓。
,探墓厝,掃墓。,,培墓,掃墓。
,掛慮,擔心、掛心。,,掛心,操心、擔心。
,掛慮,擔心、掛心。,,掛意,掛念、介意。心中有繫念，將不愉快或憂慮之事存於心中，而不能釋懷。
,掛慮,擔心、掛心。,,操心,勞神、勞費心力。
,掛慮,擔心、掛心。,,擘腹,擔心、煩惱。
,推撨,商議調整或變更原定的計畫，以便於行事。,,撨摵,調度。安排配置。
,推撨,商議調整或變更原定的計畫，以便於行事。,,對摵,折衷。
,推論,根據事實而推演、推測。,,推測,推想揣測。
,教學,教師將知識、技能傳授給學生。,,傳授,將知識或技能教授給別人。
,探頭,露臉、現身。,,相借問,打招呼、寒喧。互相打招呼問候。
,捲螺仔風,旋風、龍捲風。螺旋狀的風，某處氣壓突然變低的時候，四周的空氣向該處急吹而形成。,,絞螺仔風,旋風、龍捲風。
,捲螺仔旋,漩渦。,,捲螺仔水,漩渦。
,推辭,拒絕、推辭。,,回,謝絕、辭去。
,推辭,拒絕、推辭。,,拒絕,拒退斷絕，不接受。
,推辭,拒絕、推辭。,,挨推,推拖、推辭、藉故拒絕。
,推辭,拒絕、推辭。,,謝絕,委婉地推辭拒絕。
,推辭,拒絕、推辭。,,推捒,推卻、婉拒。
,接續,連續。相連接、繼續不間斷。,,連紲,連續、接連不斷。
,接續,連續。相連接、繼續不間斷。,,連續,持續不斷。
,敗露,壞事或機密事件被發覺、揭露。,,出破,不該讓人知道的事情被發現或揭發。
,旋,反轉回繞，也引申為逃跑，即溜。,,偷走,暗地裡、趁人不注意時逃走、逃跑。
,桱,用來修補漁網的工具。,,桱仔,用來修補漁網的工具。
,桶,圓柱形的盛物器具。,,桶仔,桶子。圓柱形的盛物器具，用木頭、鐵皮、塑料等製成。
,桶,圓柱形的盛物器具。,,鐵桶,鐵製的桶子、水桶。
,桷,方形口徑的建材。為鋪在屋頂的木材，與屋脊平行的圓樹幹為「楹」(ênn)，與屋脊垂直的方形長木條為「桷」(kak)。,,桷仔,作建築使用的方形小木料。
,桸,杓子。用來舀水的器具。,,水觳仔,裝水的容器、杓子。
,桸,杓子。用來舀水的器具。,,杓仔,杓子。用來舀取液體的器具。
,桸,杓子。用來舀水的器具。,,戽杓,水瓢、杓子。用來舀水的長柄器具，略似斗狀。
,桸,杓子。用來舀水的器具。,,𣁳,杓子、水瓢。
,梅,木本植物。性質耐寒，葉成卵形，於春冬之際開花，花瓣五片，紅或白色。果實味道極酸，常做成各種醃漬品。,,梅仔,梅子。梅樹的果實。是一種核果，味道酸，可以醃製成蜜餞，生津止渴。
,梅,木本植物。性質耐寒，葉成卵形，於春冬之際開花，花瓣五片，紅或白色。果實味道極酸，常做成各種醃漬品。,,梅花,花名。梅樹的花，花有五瓣，為白色或紅色，臘月開花者稱「臘梅」，早春開花者稱「春梅」。
,桱仔,用來修補漁網的工具。,,桱,用來修補漁網的工具。
,桶仔,桶子。圓柱形的盛物器具，用木頭、鐵皮、塑料等製成。,,桶,圓柱形的盛物器具。
,桶仔,桶子。圓柱形的盛物器具，用木頭、鐵皮、塑料等製成。,,鉛桶,用鍍上一層鋅的鐵皮所製成的桶子。
